property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features
flat,Central Park 2 Bellevue,,2.75,,,Super Built up area 2557(237.55 sq.m.)Carpet area: 2550 sq.ft. (236.9 sq.m.),3.0,4.0,3+,not available,3.0,,5 to 10 Year Old,"['Rajiv Chowk Mosque', 'Icici bank ATM', 'Standard chartered ATM', 'Best Urologist Atcomplete Family Clinic', 'Wellness Eye Centre', 'Samvit Health Care', 'Dr. Aruna Kalra', 'Neelkanth Health Care', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Airforce Hospital', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Skin Clinic', 'Divine Look Clinic Centre', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Sukhmani Hospital Pvt. Ltd', 'Medanta', 'Vaishnavi Nursing Home', 'Wembley estate club', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'Kore Tech Park', 'India Oil', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'Indusind bank', 'Hdfc bank', 'SRS Cinemas', 'SRS Cinemas', ""Domino's Pizza"", ""Nirula's"", 'Haldiram', 'KFC', 'Nook', 'Starbucks', 'India', 'Kendriya Vidyalaya No.2 Sohna Road', 'Delhi Public School Primary Section', 'Kamla International']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park']"
flat,Aardhya homesh,,1.85,,,Carpet area: 2300 (213.68 sq.m.),4.0,4.0,0,not available,4.0,East,undefined,"['Sri Radhe Krishna Temple', 'Icici bank ATM', 'Kamal Hospital and Maternity Centre', 'Gobind Hospital', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sanjeevani Hospital Gurgaon', 'Sai Dharamraj Hospital', 'Sai Heart and Trauma Center', 'Ekta Hospital', 'Divine Look Clinic Centre', 'Skin Clinic', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'Icici bank', 'State bank of india', 'Union bank of india', 'Central bank of india', 'Indusind bank', 'Hdfc bank', 'SRS Cinemas', 'Starbucks', 'Nook', ""Nirula's"", ""Domino's Pizza""]","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
flat,Capital Residences 360,,1.18,,,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,3,pooja room,7.0,East,0 to 1 Year Old,,,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
flat,Pivotal Devaan,,0.3,,,Carpet area: 450 (41.81 sq.m.),1.0,1.0,1,not available,14.0,,0 to 1 Year Old,"['Dwarka Expressway', 'RPS International School', 'Shree Shyam Public School', 'The Millenium School', 'GD Goenka Public School', 'Genesis Hospital', 'Yashlok Medical Centre', 'Sarup Multispeciality Hospital', 'IGI Airport', 'State Bank of India', 'Holiday Inn', 'Hyatt Regency', 'Footprints', 'Saheed Bhagat Singh Sports Academy', 'Bharat Petroleum']","['1 Wardrobe', '2 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage']"
flat,Emaar MGF Emerald Estate3.8 ★,,1.3,,,Super Built up area 1020(94.76 sq.m.)Carpet area: 631 sq.ft. (58.62 sq.m.),2.0,2.0,2,study room,7.0,West,1 to 5 Year Old,"['Sector 53-54 Metro Station', 'Central Plaza Mall', 'Golf Course Road', 'NH 148A', 'Lancers International School', 'Paras Hospitals, Gurgaon', 'Indira Gandhi Intl Airport', 'DLF Golf and Country Club']",,"['Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
house,independent,,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5.0,5.0,3+,"pooja room,study room,servant room,store room",2.0,North-East,1 to 5 Year Old,"['Guru dronacharya metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Sikanderpur metro station', 'Sikandarpur metro station', 'Dlf phase 2 metro station', 'Hanuman Mandir', 'Icici bank ATM', 'Axis bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Sikka Maternity And Surgical Center', 'Anahat Hospital', 'Divine Look Clinic Centre 1', 'The Dental Lounge', ""St Stephen's Hospital Health Care Facility"", 'Marwah Clinic', 'Durga Poly Clinic', 'Krishna Family Clinic', 'Upkar Clinic', 'Surgi Center Clinic', 'Lord Krishna Hospital', 'Uma Sanjeevani Health Centre And Hospital', 'Cosmodentz Dental Clinic', 'Kailash Nursing Home Gurgaon', ""Dr. Khullar's Dental Clinic"", 'Relief Physiotherapy Clinic', 'RBS Dental Clinic', 'Sidhesh Hospital Gurgaon', 'Shri Ram Memorial Hospital', 'R.N Clinic', 'Dental Cure and Care Centre', 'Religare Wellness', '98.4', 'Guardian', 'Emaar Business Park', 'Axis bank', 'Hsbc bank', 'Kotak mahindra bank', 'Hdfc bank', 'Lord krishna bank', 'Indusind bank', 'Abn amro bank', 'PVR Cinames', 'Food Court', 'Nowhere Brewpub and cafe']","['9 Fan', '6 Geyser', '9 Light', '6 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Centrally Air Conditioned', 'High Ceiling Height', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors']"
flat,The Rama Apartment CGHS,,2.5,,,Carpet area: 2450 (227.61 sq.m.),4.0,4.0,3+,servant room,4.0,East,5 to 10 Year Old,"['Sector 42-43 metro station', 'Sector 53-54 metro station', 'Huda city centre metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Rbs ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Paras Hospital Gurgaon', 'Gupta', 'Arihant Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Marwah Clinic', 'Sitaram Bhartia', 'Guardian Pharmacy', 'Chikitsa', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', ""Carl's Jr."", 'Starbucks', 'Balaji Vegetarian Paradise', 'PWO house', 'The Chicken Boat', 'Clock tower', 'Naveidyam', 'Starbucks', 'Blue Tokai Coffee Roasters', 'Drunken Monkey', 'CCD', 'Belgian Waffle', 'Nowhere Brewpub and cafe', 'Fat', 'Stones2milestones', 'Ncr library', 'Bahrisons library']","['8 Fan', '3 Geyser', '2 Light', '5 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park']"
flat,Smart World Orchard,,2.0,,,Carpet area: 1549 (143.91 sq.m.),3.0,3.0,2,others,3.0,,Within 6 months,"['Sector 55-56 Metro station', 'Bestech Central Square Mall', 'Golf Course Ext Road', 'Badshahpur Sohna Rd Hwy', 'ORCHIDS The International School', 'Sushant University', 'Marengo Asia Hospitals', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station']","['2 Wardrobe', '5 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",
flat,Bestech Park View Spa Next4.0 ★,,2.85,,,Super Built up area 2350(218.32 sq.m.),4.0,4.0,3+,"pooja room,servant room",5.0,South,5 to 10 Year Old,"['Omaxe City Centre Mall', 'Golf Course Extension Road', ""St. Xavier's School"", 'KIIT College of Engineering', 'Ektaa Hospital', 'Indira Gandhi International Airport', 'Surajgarh Gurgaon', 'Duke Horse Riding Club', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park', 'HUDA Mini Golf Course', 'PVR Drive In Theater']","['4 Wardrobe', '6 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '10 Light', '1 Modular Kitchen', '6 AC', '1 Curtains', '1 Chimney', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
flat,ATS Triumph3.9 ★,,1.73,,,Super Built up area 2290(212.75 sq.m.),3.0,4.0,3+,servant room,15.0,North-East,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expressway', 'Govt. PG College', 'Delhi Public School', 'The NorthCap University', 'Shree Krishna Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot', 'The Executive Centre', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
flat,Tulip Violet4.3 ★,,1.32,,,Super Built up area 1568(145.67 sq.m.),3.0,3.0,1,pooja room,12.0,South-West,1 to 5 Year Old,"['Airia Mall Sector 68', 'Southern Peripheral Road', 'Golf Course Extension Rd', 'Imperio School', 'DPG Institute of Technology', 'Ektaa Hospitals', 'Indira Gandhi International Airport', 'Vipul Trade Business Centre', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park']","['2 Wardrobe', '6 Fan', '1 Exhaust Fan', '9 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
house,independent,,1.0,74074.0,135.0,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),9.0,7.0,3+,"pooja room,store room",3.0,North,5 to 10 Year Old,"['Palam triangle', 'Palam Vihar Vyapar kendra', 'HUDA Sector 23 Market', 'Ram Mandir', 'Sheetla Mata Mandir', 'Kalyan Hospital Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', ""Dr. Anurag's Child Care Clinic"", 'Chirag Hospital Pvt. Ltd', 'Jiya Clinic', 'Dr. Mittal Clinic', 'Yashroop Medical Centre', 'R K Hospital Gurgaon', 'Jeevan Jyoti Hospital Gurgaon', 'Dr. Sindhu Clinic', 'Apollo Cradle Hospital Gurgaon', 'Sneh Hospital Gurgaon', 'Sheetla Clinic', 'Kishor Clinic', 'Children Hospital', 'Bhardwaj Hospital', 'Ansals plaza underground car parking', 'Ansals Plaza above ground car parking', 'HUDA sector 23 parking', 'Axis bank', 'Punjab national bank', 'Oriental bank of commerce', 'Catholic syrian bank', 'Karur vysay bank', 'Oriental bank of commerce', 'Big Cinemas', ""McDonald's"", 'Moti Mahal', 'Pind Baluchi', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Om Sweets', 'Cafe Coffee Day', 'THE NORTHCAP UNIVERSITY', 'Masti ki Pathshala Teach India', 'Chiranjiv Bharati School', 'Swiss Cottage school', 'Lieutenant Atul Kataria School', 'Palam vihar railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']",,"['No open drainage around', 'Internet/wi-fi connectivity']"
